custAge,profession,marital,default,housing,loan,contact,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pastEmail,prev_contracted,responded
39.0,2,4,0,0,1,1,2,999,1,1,-1.1,94.199,-37.5,0.886,4963.6,2,0,0
35.0,1,4,0,0,0,1,2,3,1,2,-3.4,92.379,-29.8,0.788,5017.5,2,1,1
50.0,2,4,1,1,0,1,1,999,1,1,-1.8,92.893,-46.2,1.327,5099.1,2,0,0
30.0,2,3,0,0,0,1,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0,0,0
39.0,1,2,0,1,0,1,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0,0,0
39.0,1,3,0,1,0,1,1,999,0,0,1.4,93.918,-42.7,4.958,5228.1,0,0,0
36.0,1,4,0,1,0,1,7,999,0,0,-1.8,93.075,-47.1,1.415,5099.1,0,0,0
30.0,2,3,0,1,0,0,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0,0,0
39.0,2,3,0,1,0,0,10,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0,0,0
39.0,1,4,0,0,0,1,7,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0,0,0
33.0,1,4,0,0,1,0,2,999,0,0,1.4,94.465,-41.8,4.958,5228.1,0,0,0
28.0,2,4,0,0,0,1,1,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,0,0,0
31.0,2,3,0,1,1,1,4,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0,0,0
39.0,2,3,0,1,0,1,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0
39.0,2,3,1,0,0,0,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,0,0
29.0,2,4,0,0,1,0,3,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,0,0
39.0,1,1,0,0,0,1,1,999,0,0,-3.4,92.431,-26.9,0.722,5017.5,0,0,1
42.0,1,4,0,1,1,1,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,0
52.0,2,4,1,1,1,0,1,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0,0,0
58.0,1,2,1,0,0,1,6,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0
50.0,2,4,0,1,0,1,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,0,0
29.0,1,3,0,0,0,1,2,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0
47.0,2,2,0,0,0,0,5,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,0,0
28.0,2,3,0,0,0,0,7,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,0,0
53.0,2,4,0,0,0,0,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,0,0
30.0,2,3,0,0,0,1,2,999,0,0,1.4,93.918,-42.7,4.958,5228.1,0,0,0
29.0,2,3,0,1,0,1,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0
30.0,2,4,0,0,0,0,2,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,0,0
39.0,2,4,0,0,0,0,2,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0,0,0
29.0,2,4,0,1,0,1,2,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0,0,0
39.0,2,3,1,1,0,1,1,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0,0,0
63.0,2,4,0,0,0,1,1,999,1,1,-2.9,92.201,-31.4,0.838,5076.2,2,0,0
39.0,2,3,0,1,0,1,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0
39.0,1,3,1,1,0,0,3,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0,0,0
39.0,2,4,0,0,0,1,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0
19.0,1,3,0,1,1,1,4,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0
36.0,2,4,0,1,0,0,6,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,0,0
52.0,2,4,0,1,0,1,2,999,1,1,-0.1,93.2,-42.0,4.12,5195.8,0,0,0
56.0,1,4,0,0,0,1,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,0
39.0,2,3,0,1,0,1,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0
39.0,2,2,0,0,0,1,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0,0,0
39.0,1,4,0,1,1,1,2,999,0,0,1.4,93.444,-36.1,4.97,5228.1,0,0,0
31.0,1,3,0,1,0,1,5,999,0,0,1.4,93.918,-42.7,4.968,5228.1,0,0,0
40.0,1,2,1,1,1,0,3,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,0,0
39.0,2,4,0,0,0,0,10,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0
42.0,2,2,0,0,0,0,4,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,0,0
39.0,2,4,0,0,0,0,2,999,0,0,1.1,93.994,-36.4,4.858,5191.0,0,0,0
38.0,2,3,0,0,0,1,6,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0
49.0,1,4,0,0,1,0,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,0,0
40.0,2,2,0,0,0,1,2,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0,0,0
28.0,2,2,0,1,0,1,1,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,0,0,0
36.0,1,4,0,1,0,0,2,999,0,0,1.4,94.465,-41.8,4.866,5228.1,0,0,0
34.0,2,3,0,1,1,0,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,0,0
51.0,2,4,1,0,0,1,2,999,1,1,-1.8,92.893,-46.2,1.299,5099.1,2,0,0
39.0,2,3,0,0,0,1,1,999,1,1,-1.8,93.876,-40.0,0.668,5008.7,3,0,0
25.0,2,4,0,1,0,0,2,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0,0,0
25.0,2,4,0,0,0,0,3,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,0,0
38.0,2,4,1,0,0,1,3,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0,0,0
39.0,2,3,1,1,0,1,3,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0,0,0
39.0,2,4,1,1,0,1,3,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0,0,0
35.0,2,4,0,0,1,0,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,0,0
56.0,1,4,1,0,0,0,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,0,0
33.0,2,4,0,1,0,1,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0,0,0
41.0,2,3,0,1,1,1,2,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0,0,0
28.0,2,3,0,1,0,0,6,999,0,0,1.4,94.465,-41.8,4.866,5228.1,0,0,0
